"","X","iso2c","year","country","GDPpc","Rural","CO2","HCexpend","Water","Sanitation","Unemploym","HCexpendpc","FemUnempl","FemSchool","LifeExpect","DPT","Measles","Population","Incidence","Incidence2","DDif","lGDPpc","lRural","lCO2","lHCexpend","lWater","lSanitation","lUnemploym","lHCexpendpc","lFemUnempl","lFemSchool","lLifeExpect","lDPT","lMeasles"
"918",918,"UA",2007,"Ukraine",8532.1887746859,31.853,7.04363987026265,6.35521435875521,97.7,94.4,6.40000009536743,194.415450563091,6.09999990463257,99.08977,68.2221951219512,98,97,46509350,0.06,0.07,1,9.05160120483709,3.46113156910519,1.95212506358348,1.84927563479721,4.58190155904874,4.54754107315146,1.85629800526679,5.26999736707331,1.80828875554526,4.5960262069459,4.2227699535756,4.58496747867057,4.57471097850338
"919",919,"UA",2008,"Ukraine",8775.81844364156,31.675,6.99246265526977,6.63441822002076,97.8,94.3,6.40000009536743,257.018983890765,6.09999990463257,98.68381,68.2514634146342,90,94,46258200,0.05,0.06,1,9.07975531391536,3.4555277262072,1.94483280539609,1.89227098044627,4.58292457704077,4.54648118963941,1.85629800526679,5.54914994944641,1.80828875554526,4.59192090056317,4.22319887580786,4.49980967033027,4.54329478227
"920",920,"UA",2009,"Ukraine",7510.26391484802,31.498,5.68499540749523,7.79946241562608,98,94.2,8.80000019073486,197.615504807269,8.39999961853027,99.36516,69.19,71,75,46053300,0.05,0.05,1,8.9240258859314,3.44992405175239,1.73783031937372,2.0540548102468,4.58496747867057,4.54542018158232,2.17475174315858,5.28632324785933,2.1282316604362,4.59880154920388,4.23685634351072,4.26267987704132,4.31748811353631
"921",921,"UA",2010,"Ukraine",7856.84717063303,31.314,6.64486713741015,7.80753352089336,98,94.3,8.10000038146973,231.290591124143,7.69999980926514,102.74995,70.2756097560976,52,56,45870700,0.04,0.05,1,8.96914068162264,3.44406528188933,1.89384469759514,2.05508910358802,4.58496747867057,4.54648118963941,2.09186410877342,5.44367489017457,2.04122030408888,4.63229836675822,4.25242479346926,3.95124371858143,4.02535169073515
"922",922,"UA",2011,"Ukraine",8295.16917095255,31.124,8.5713910619815,7.33772681995486,98,94.3,7.90000009536743,261.806293018189,7.59999990463257,106.31266,70.8092682926829,50,67,45706100,0.04,0.04,1,9.0234285967448,3.43797922575468,3.20931112336031,1.9930290971064,4.58496747867057,4.54648118963941,2.0668627715448,5.56760489068954,2.02814823474394,4.66638437515201,4.2599899002207,3.91202300542815,4.20469261939097
"923",923,"UA",2012,"Ukraine",8332.3231989736,30.928,1.95840853720485,7.56238795776034,98,94.3,7.69999980926514,292.844739922589,7.30000019073486,106.93852,70.9441463414634,76,79,45593300,0.04,0.04,1,9.02789759171179,3.43166192246598,1.30654855862263,2.02318700774444,4.58496747867057,4.54648118963941,2.04122030408888,5.67964257069645,1.98787437428241,4.67225408988863,4.26189289620612,4.33073334028633,4.36944785246702
"924",924,"UG",2000,"Uganda",883.693205220795,87.918,0.0631417312523282,6.63962979097127,56.5,29.8,2.79999995231628,15.5747806618737,3.29999995231628,125.32859,48.1093658536585,52,57,24275641,0.56,0.530654909504234,1.11518369829348,6.78410994948319,4.47640456188394,-2.7623733769642,1.89305620756221,4.0342406381524,3.39450839351136,1.02961940015126,2.74565298186962,1.19392245402282,4.83093900826094,3.87347687444924,3.95124371858143,4.04305126783455
"925",925,"UG",2001,"Uganda",899.402091083127,87.833,0.0646050648928914,7.23753973223567,58,30.1,3.29999995231628,16.9187423810158,3.79999995231628,128.83868,48.9728048780488,55,59,25088033,0.61,0.56,0,6.80173019930958,4.47543728423969,-2.73946246735228,1.97928133265754,4.06044301054642,3.40452517175483,1.19392245402282,2.82842202405253,1.33500105418399,4.85856107914507,3.89126514155094,4.00733318523247,4.07753744390572
"926",926,"UG",2002,"Uganda",945.699245712428,87.747,0.0643124017357605,7.52968682776651,59.4,30.5,3.5,17.5034736304048,4,133.85764,49.912756097561,57,62,25943441,0.63,0.61,0,6.85192459642405,4.47445767372736,-2.74400279330724,2.01885345100887,4.0842942263686,3.41772668361337,1.25276296849537,2.8623993543983,1.38629436111989,4.896776847157,3.91027660330652,4.04305126783455,4.12713438504509
"927",927,"UG",2003,"Uganda",973.338926561303,87.517,0.0636707187172065,7.56265478480316,61,30.8,3.20000004768372,17.8558300461013,3.70000004768372,133.79164,50.8887804878049,59,64,26838428,0.67,0.63,0,6.8807323530448,4.47183306020683,-2.75403049685598,2.02322229055949,4.11087386417331,3.42751468997953,1.16315082470684,2.88233006812612,1.30833283253767,4.89628366442669,3.92964247662339,4.07753744390572,4.15888308335967
